supplier_key,supplier_code,supplier_name,supplier_type,contact_person,phone,email,website,address_line1,address_line2,city,state,postal_code,country,tax_id,payment_terms,lead_time_days,minimum_order_value,credit_limit,quality_rating,delivery_rating,is_preferred,is_active,current_flag,effective_from,effective_to,row_created_date,row_updated_date
1,SPLR0001,Supplier 1,Manufacturer,Person 1,+91-9896233790,supplier1@example.com,https://supplier1.com,1 Market Street,Building 18,Delhi,Delhi,246316,India,TAXID00001,Net 60,8,3706.8,451480.81,3.17,3.84,0,1,1,8/2/2024,11/24/2025,10/28/2025,10/28/2025
2,SPLR0002,Supplier 2,Manufacturer,Person 2,+91-9642621108,supplier2@example.com,https://supplier2.com,2 Market Street,Building 39,Mumbai,Tamil Nadu,308496,India,TAXID00002,Net 60,25,3805.3,238783.92,3.9,3.56,0,1,1,7/11/2021,2/19/2023,10/28/2025,10/28/2025
3,SPLR0003,Supplier 3,Distributor,Person 3,+91-9465341213,supplier3@example.com,https://supplier3.com,3 Market Street,Building 18,Delhi,Delhi,900581,India,TAXID00003,Net 45,8,1370.98,93522.37,4.69,4.21,0,1,1,11/23/2021,11/6/2024,10/28/2025,10/28/2025
4,SPLR0004,Supplier 4,Manufacturer,Person 4,+91-9506448196,supplier4@example.com,https://supplier4.com,4 Market Street,Building 6,Chennai,Karnataka,969693,India,TAXID00004,Net 60,24,4541.81,212735.76,3.38,3.14,0,1,1,7/30/2023,,10/28/2025,10/28/2025
5,SPLR0005,Supplier 5,Manufacturer,Person 5,+91-9208449460,supplier5@example.com,https://supplier5.com,5 Market Street,Building 25,Bangalore,Telangana,766563,India,TAXID00005,Net 45,10,2480.72,144278.16,3.53,4.87,0,1,1,8/16/2022,11/5/2023,10/28/2025,10/28/2025
6,SPLR0006,Supplier 6,Manufacturer,Person 6,+91-9673528321,supplier6@example.com,https://supplier6.com,6 Market Street,Building 47,Delhi,Delhi,584714,India,TAXID00006,Net 45,13,4958.09,337999.89,4.11,4.37,0,1,1,6/1/2024,,10/28/2025,10/28/2025
7,SPLR0007,Supplier 7,Distributor,Person 7,+91-9530747414,supplier7@example.com,https://supplier7.com,7 Market Street,Building 18,Mumbai,Delhi,694731,India,TAXID00007,Net 60,15,1850.51,274654.07,4.77,4.29,0,1,1,4/15/2022,5/17/2023,10/28/2025,10/28/2025
8,SPLR0008,Supplier 8,Manufacturer,Person 8,+91-9899925830,supplier8@example.com,https://supplier8.com,8 Market Street,Building 36,Chennai,Karnataka,883300,India,TAXID00008,Net 60,18,4591.29,229730.23,3.44,5,1,1,1,6/27/2022,11/16/2023,10/28/2025,10/28/2025
9,SPLR0009,Supplier 9,Manufacturer,Person 9,+91-9264112119,supplier9@example.com,https://supplier9.com,9 Market Street,Building 41,Delhi,Telangana,725380,India,TAXID00009,Net 30,17,2526.48,498254.62,4.06,4.94,0,1,1,7/6/2021,8/23/2022,10/28/2025,10/28/2025
10,SPLR0010,Supplier 10,Wholesaler,Person 10,+91-9676567501,supplier10@example.com,https://supplier10.com,10 Market Street,Building 49,Bangalore,Karnataka,216970,India,TAXID00010,Net 45,18,1632.63,51460.39,4.44,4.44,0,1,1,10/25/2024,,10/28/2025,10/28/2025
