fiscal_month_key,store_key,currency_key,category,budget_sales_amt,budget_units,budget_cogs_amt,budget_margin_amt,budget_opex_amt,budget_marketing_amt,budget_headcount,budget_version,budget_scenario,is_locked,approved_by,approved_date,load_date
202101,6,4,Electronics,29895.2021716827,383.194,129543.14,51501.19,25375.08,6167.26,55.88,Revised,Worst Case,1,finance_user47,2021-02-14,2021-02-14 00:00:00
202101,6,4,Apparel,96544.7995028518,1237.504,360609.96,224062.07,80328.71,12926.41,42.26,Original,Base Case,1,finance_user36,2021-02-09,2021-02-11 00:00:00
202101,6,4,Grocery,122565.9971425091,1571.042,502856.37,239399.15,125976.82,53734.56,39.57,Original,Best Case,1,finance_user45,2021-02-15,2021-02-14 00:00:00
202101,6,4,Home,115960.595206752,1486.374,532227.58,170025.86,126613.43,15749.6,63.59,Original,Worst Case,0,finance_user08,2021-02-11,2021-02-09 00:00:00
202101,6,4,Beauty,88205.39181490673,1130.61,361469.75,172699.11,90973.42,24097.43,15.91,Forecast,Base Case,1,finance_user22,2021-02-19,2021-02-22 00:00:00
202101,16,4,Electronics,93408.36603198283,1350.967,373481.97,203684.09,101823.14,18165.11,33.74,Original,Worst Case,0,finance_user29,2021-02-13,2021-02-10 00:00:00
202101,16,4,Apparel,52661.1922407857,761.64,216281.64,109109.48,45473.14,9531.45,50.7,Forecast,Best Case,1,finance_user30,2021-02-14,2021-02-17 00:00:00
202101,16,4,Grocery,14412.66438752729,208.451,55200.68,33854.51,14469.69,3688.29,55.8,Original,Best Case,0,finance_user11,2021-02-13,2021-02-15 00:00:00
202101,16,4,Home,31637.77050886945,457.578,135725.59,59762.76,31268.03,13033.67,61.51,Revised,Base Case,1,finance_user15,2021-02-11,2021-02-13 00:00:00
202101,16,4,Beauty,78985.80191169896,1142.373,356141.17,131908.52,59625.84,36757.18,50.89,Revised,Base Case,0,finance_user16,2021-02-15,2021-02-17 00:00:00
202101,10,3,Electronics,1649.8750353147072,24.033,9080.16,3036.07,1979.56,735.96,48.88,Original,Worst Case,0,finance_user48,2021-02-14,2021-02-16 00:00:00
202101,10,3,Apparel,1379.784616405883,20.099,7529.39,2603.37,1109.38,708.8,52.98,Original,Base Case,1,finance_user20,2021-02-06,2021-02-07 00:00:00
202101,10,3,Grocery,996.1387607440722,14.51,4875.22,2440.15,905.74,542.8,38.52,Revised,Best Case,1,finance_user04,2021-02-18,2021-02-15 00:00:00
202101,10,3,Home,302.2103541799467,4.402,1405.83,813.52,352.71,149.38,35.85,Revised,Worst Case,0,finance_user28,2021-02-05,2021-02-06 00:00:00
202101,10,3,Beauty,1190.6517399624672,17.344,6154.6,2589.22,1869.78,317.86,52.21,Revised,Worst Case,0,finance_user39,2021-02-13,2021-02-12 00:00:00
202101,17,1,Electronics,81996.87004996966,1494.142,618307.19,341287.98,162171.93,66099.54,92.88,Original,Base Case,1,finance_user16,2021-02-14,2021-02-12 00:00:00
202101,17,1,Apparel,109050.36873554268,1987.109,823590.81,452606.77,158860.54,64564.54,90.21,Forecast,Best Case,1,finance_user13,2021-02-12,2021-02-15 00:00:00
202101,17,1,Grocery,70506.8811724999,1284.772,519148.61,305981.21,136411.15,49801.69,92.36,Original,Base Case,1,finance_user39,2021-02-07,2021-02-04 00:00:00
202101,17,1,Home,17780.571582873155,323.996,131959.68,76123.26,31184.58,8840.16,89.94,Original,Base Case,1,finance_user47,2021-02-07,2021-02-07 00:00:00
202101,17,1,Beauty,110638.63371505908,2016.05,877250.57,417534.2,318720.17,68257.92,113.43,Original,Base Case,1,finance_user18,2021-02-10,2021-02-11 00:00:00
202101,2,2,Electronics,45054.63119505586,564.81,255782.87,117035.78,43708.03,27236.24,57.16,Original,Base Case,0,finance_user26,2021-02-13,2021-02-16 00:00:00
202101,2,2,Apparel,89997.80488710082,1128.222,496592.41,248122.59,130535.78,40728.56,86.5,Forecast,Base Case,0,finance_user11,2021-02-14,2021-02-17 00:00:00
202101,2,2,Grocery,93863.34357925072,1176.681,596763.88,179937.74,164255.06,46414.14,54.69,Forecast,Worst Case,0,finance_user48,2021-02-20,2021-02-21 00:00:00
202101,2,2,Home,87433.0762483062,1096.071,476739.79,246752.56,139603.76,25470.93,64.15,Original,Base Case,0,finance_user30,2021-02-20,2021-02-20 00:00:00
202101,2,2,Beauty,111070.90696548784,1392.397,667077.32,252013.67,155713.96,50132.5,60.18,Forecast,Base Case,1,finance_user39,2021-02-09,2021-02-08 00:00:00
202101,10,5,Electronics,19562.60926611636,284.962,104487.27,39175.18,29845.5,7660.71,43.93,Original,Best Case,1,finance_user18,2021-02-10,2021-02-13 00:00:00
202101,10,5,Apparel,58488.6210164819,851.985,307190.61,122333.78,92073.6,9985.45,39.73,Original,Base Case,1,finance_user40,2021-02-18,2021-02-17 00:00:00
202101,10,5,Grocery,115050.42855625092,1675.902,617360.27,227538.54,125299.52,18455.68,71.13,Forecast,Base Case,1,finance_user04,2021-02-15,2021-02-18 00:00:00
202101,10,5,Home,80101.47837744415,1166.812,387917.95,200325.35,119434.52,17566.78,33.03,Original,Base Case,1,finance_user15,2021-02-10,2021-02-08 00:00:00
202101,10,5,Beauty,55042.87421107087,801.792,319169.3,85050.48,84757.57,29772.16,70.98,Original,Base Case,0,finance_user26,2021-02-15,2021-02-13 00:00:00
202101,12,5,Electronics,102862.69624605104,1555.524,806042.3,282214.09,213699.76,37000.54,126.65,Revised,Best Case,1,finance_user31,2021-02-12,2021-02-15 00:00:00
202101,12,5,Apparel,19639.12349044275,296.989,156319.07,51456.95,30643.85,10816.33,57.37,Original,Best Case,1,finance_user05,2021-02-05,2021-02-06 00:00:00
202101,12,5,Grocery,58110.296489280205,878.763,401200.83,213588.63,114016.88,41391.55,67.01,Original,Best Case,1,finance_user30,2021-02-20,2021-02-18 00:00:00
202101,12,5,Home,112201.2367560487,1696.744,776074.04,410981.31,243694.35,25098.44,69.65,Forecast,Base Case,0,finance_user34,2021-02-18,2021-02-20 00:00:00
202101,12,5,Beauty,92521.4419771353,1399.14,763224.78,215624.25,219853.9,22687.88,88.15,Revised,Base Case,0,finance_user02,2021-02-14,2021-02-14 00:00:00
202101,14,3,Electronics,838.2758373989567,7.061,2904.04,1268.59,608.82,320.63,74.09,Revised,Base Case,1,finance_user27,2021-02-18,2021-02-18 00:00:00
202101,14,3,Apparel,2397.791980209817,20.198,7858.48,4076.85,2323.19,702.11,66.83,Forecast,Worst Case,0,finance_user31,2021-02-14,2021-02-15 00:00:00
202101,14,3,Grocery,2186.991009736914,18.422,8393.55,2492.5,2021.59,404.91,75.47,Forecast,Base Case,0,finance_user06,2021-02-16,2021-02-17 00:00:00
202101,14,3,Home,1912.1395237667016,16.107,5918.88,3599.05,1182.1,270.51,62.47,Forecast,Base Case,0,finance_user43,2021-02-06,2021-02-05 00:00:00
202101,14,3,Beauty,689.7614920586848,5.81,2696.71,736.67,600.89,201.62,67.29,Revised,Best Case,1,finance_user23,2021-02-08,2021-02-06 00:00:00
