date_key,store_key,currency_key,product_key,posting_id,journal_entry_id,gl_account_code,gl_account_name,cost_center,amount_local,amount_group,fx_rate,debit_credit_flag,account_type,account_category,financial_statement,posting_date,posting_period,fiscal_year,fiscal_period,posting_description,reference_document,source_system,posted_by,load_date
20210117,16,5,50.0,POST2021010001D,JRN2021010001,100000,Inventory - Finished Goods,CC-110,229853.62,2988.1,0.013,D,Asset,Asset - Finished Goods,Balance Sheet,2021-01-17,202101,2021,1,Vendor receipt capitalization (Inventory - Finished Goods),RC20210174602,AutoBatch,system_bot,2021-01-18 00:00:00
20210117,16,5,50.0,POST2021010001C,JRN2021010001,200000,Accounts Payable - Trade,CC-102,229853.62,2988.1,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-17,202101,2021,1,Vendor receipt capitalization (Accounts Payable - Trade),RC20210174602,AutoBatch,system_bot,2021-01-18 00:00:00
20210112,14,1,,POST2021010002D,JRN2021010002,101000,Accounts Receivable - Trade,CC-135,862367.2,11210.77,0.013,D,Asset,Asset - Trade,Balance Sheet,2021-01-12,202101,2021,1,Sales revenue posting (Accounts Receivable - Trade),RC20210181006,Finance,system_bot,2021-01-10 00:00:00
20210112,14,1,,POST2021010002C,JRN2021010002,400000,Sales Revenue - Domestic,CC-187,4296390.011467214,55853.05221355392,0.013,C,Revenue,Revenue - Domestic,P&L,2021-01-12,202101,2021,1,Sales revenue posting (Sales Revenue - Domestic),RC20210181006,Finance,system_bot,2021-01-10 00:00:00
20210118,19,3,,POST2021010003D,JRN2021010003,502000,Marketing Expense - Promotions,CC-179,435652.4,5663.48,0.013,D,Expense,Expense - Promotions,P&L,2021-01-18,202101,2021,1,Marketing spend for promotions (Marketing Expense - Promotions),RC20210144134,Finance,fin_user42,2021-01-15 00:00:00
20210118,19,3,,POST2021010003C,JRN2021010003,200000,Accounts Payable - Trade,CC-139,435652.4,5663.48,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-18,202101,2021,1,Marketing spend for promotions (Accounts Payable - Trade),RC20210144134,Finance,fin_user42,2021-01-15 00:00:00
20210114,19,1,41.0,POST2021010004D,JRN2021010004,500000,COGS Expense - Retail Segment,CC-130,921529.13,11979.88,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-14,202101,2021,1,COGS recognition on sale (COGS Expense - Retail Segment),RC20210115481,ERP,system_bot,2021-01-13 00:00:00
20210114,19,1,41.0,POST2021010004C,JRN2021010004,100000,Inventory - Finished Goods,CC-154,921529.13,11979.88,0.013,C,Asset,Asset - Finished Goods,Balance Sheet,2021-01-14,202101,2021,1,COGS recognition on sale (Inventory - Finished Goods),RC20210115481,ERP,system_bot,2021-01-13 00:00:00
20210114,10,5,,POST2021010005D,JRN2021010005,501000,Freight Expense - Inbound,CC-116,851137.34,11064.79,0.013,D,Expense,Expense - Inbound,P&L,2021-01-14,202101,2021,1,Inbound freight accrual (Freight Expense - Inbound),ORD2021011906,AutoBatch,fin_user26,2021-01-17 00:00:00
20210114,10,5,,POST2021010005C,JRN2021010005,200000,Accounts Payable - Trade,CC-109,851137.34,11064.79,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-14,202101,2021,1,Inbound freight accrual (Accounts Payable - Trade),ORD2021011906,AutoBatch,fin_user26,2021-01-17 00:00:00
