date_key,time_key,product_key,store_key,movement_type_key,movement_id,reference_id,reference_line_number,movement_qty,unit_cost,movement_cost_amt,from_location,to_location,reason_code,notes,source_system,movement_datetime,load_date
20250115,119248,35,16,1,MV544325,REF3630,6,314.375,170.8574,53713.3,WH2,Store17,Vendor Shipment,Received stock from vendor,WMS,2025-01-18 14:58:00,2025-10-23 13:59:27
20250115,66775,33,13,3,MV921823,REF9169,3,13.37,169.4279,2265.25,WH5,Store10,Customer Return,Returned by customer,POS,2025-01-12 19:41:00,2025-10-23 13:59:27
20250115,58233,2,9,5,MV711755,REF3968,1,-39.667,489.5881,-19420.49,9,WH3,Warehouse Transfer,Stock sent to another store,POS,2025-01-16 04:34:00,2025-10-23 13:59:27
20250115,52924,13,20,5,MV885066,REF6314,1,-140.461,338.033,-47480.45,20,WH5,Warehouse Transfer,Stock sent to another store,ERP,2025-01-14 23:02:00,2025-10-23 13:59:27
20250115,135714,4,16,4,MV466508,REF5294,1,211.277,385.7834,81507.16,WH3,Store20,Warehouse Transfer,Inbound stock from another store,WMS,2025-01-13 08:17:00,2025-10-23 13:59:27
20250115,7173,29,12,6,MV554182,REF9456,8,-431.901,369.1956,-159455.95,12,WH2,Inventory Adjustment,Manual inventory correction,WMS,2025-01-17 15:50:00,2025-10-23 13:59:27
20250115,127870,44,9,2,MV992537,REF1462,2,-186.633,412.1305,-76917.15,9,WH5,POS Sale,Stock issued for sale,ERP,2025-01-14 22:33:00,2025-10-23 13:59:27
20250115,134639,16,7,4,MV319461,REF3624,9,418.831,329.817,138137.58,WH4,Store4,Warehouse Transfer,Inbound stock from another store,WMS,2025-01-13 00:59:00,2025-10-23 13:59:27
20250115,48821,20,13,3,MV419112,REF6757,1,319.201,369.4383,117925.07,WH2,Store1,Customer Return,Returned by customer,ERP,2025-01-12 15:17:00,2025-10-23 13:59:27
20250115,173355,20,13,4,MV967620,REF8478,3,303.604,170.6973,51824.38,WH3,Store4,Warehouse Transfer,Inbound stock from another store,WMS,2025-01-15 11:19:00,2025-10-23 13:59:27
20250115,196821,29,6,3,MV883647,REF9314,5,271.613,211.942,57566.2,WH2,Store7,Customer Return,Returned by customer,POS,2025-01-13 05:52:00,2025-10-23 13:59:27
20250115,231465,30,9,4,MV139929,REF9045,2,299.211,306.3395,91660.15,WH4,Store3,Warehouse Transfer,Inbound stock from another store,ERP,2025-01-18 04:59:00,2025-10-23 13:59:27
20250115,228796,41,19,2,MV595549,REF4519,2,-58.022,412.3964,-23928.06,19,WH2,POS Sale,Stock issued for sale,POS,2025-01-12 17:23:00,2025-10-23 13:59:27
20250115,208618,50,16,5,MV911756,REF2448,4,-457.066,254.1358,-116156.83,16,WH4,Warehouse Transfer,Stock sent to another store,WMS,2025-01-16 06:58:00,2025-10-23 13:59:27
20250115,13024,35,7,5,MV631420,REF8422,9,-426.156,398.5012,-169823.68,7,WH1,Warehouse Transfer,Stock sent to another store,WMS,2025-01-17 00:14:00,2025-10-23 13:59:27
20250115,110497,11,15,3,MV236277,REF3841,8,241.035,298.2873,71897.68,WH2,Store1,Customer Return,Returned by customer,POS,2025-01-12 02:11:00,2025-10-23 13:59:27
20250115,27786,29,6,2,MV456540,REF3655,6,-281.772,193.3922,-54492.51,6,WH5,POS Sale,Stock issued for sale,ERP,2025-01-18 02:24:00,2025-10-23 13:59:27
20250115,27625,39,14,6,MV716026,REF1786,1,-145.539,261.786,-38100.07,14,WH3,Inventory Adjustment,Manual inventory correction,WMS,2025-01-12 21:47:00,2025-10-23 13:59:27
20250115,172692,25,12,6,MV862021,REF1297,10,-262.769,151.3459,-39769.01,12,WH1,Inventory Adjustment,Manual inventory correction,POS,2025-01-12 16:05:00,2025-10-23 13:59:27
20250115,162222,11,15,2,MV525601,REF3880,2,-82.451,459.0773,-37851.38,15,WH1,POS Sale,Stock issued for sale,WMS,2025-01-16 07:32:00,2025-10-23 13:59:27
20250115,59770,46,6,4,MV131734,REF6576,9,115.989,183.8715,21327.07,WH1,Store19,Warehouse Transfer,Inbound stock from another store,WMS,2025-01-13 16:41:00,2025-10-23 13:59:27
20250115,93285,32,13,5,MV302760,REF2596,7,-191.794,474.1839,-90945.63,13,WH1,Warehouse Transfer,Stock sent to another store,POS,2025-01-13 04:29:00,2025-10-23 13:59:27
20250115,139514,29,12,3,MV739689,REF7509,8,239.598,271.6733,65092.38,WH5,Store13,Customer Return,Returned by customer,ERP,2025-01-17 05:16:00,2025-10-23 13:59:27
20250115,222931,10,14,3,MV425913,REF7510,10,417.752,338.6269,141462.06,WH2,Store16,Customer Return,Returned by customer,ERP,2025-01-16 04:01:00,2025-10-23 13:59:27
20250115,65307,3,17,1,MV937215,REF8724,4,63.013,345.4459,21767.58,WH5,Store12,Vendor Shipment,Received stock from vendor,POS,2025-01-18 23:19:00,2025-10-23 13:59:27
