date_key,product_key,store_key,soh_qty,on_order_qty,backorder_qty,reserved_qty,available_qty,damaged_qty,unit_cost,inventory_cost_amt,days_of_supply,stock_status,snapshot_datetime,load_date
20250115,28,14,757.731,111.253,2.579,79.519,678.212,20.517,402.2057,304763.73,587.1,Overstock,2025-01-15 10:51:59,2025-01-15 10:51:59
20250115,11,15,876.074,168.57,4.855,164.032,712.042,18.076,236.5216,207210.42,51.15,Overstock,2025-01-15 00:09:40,2025-01-15 00:09:40
20250115,41,19,753.559,179.784,4.125,154.552,599.007,16.34,343.1313,258569.68,92.5,Overstock,2025-01-15 15:22:26,2025-01-15 15:22:26
20250115,11,5,881.109,102.767,4.261,142.336,738.773,33.181,236.5216,208401.31,128.92,Overstock,2025-01-15 14:00:13,2025-01-15 14:00:13
20250115,49,17,903.834,182.404,1.232,227.585,676.249,3.227,390.0897,352576.33,47.9,Overstock,2025-01-15 18:33:17,2025-01-15 18:33:17
20250115,49,12,192.242,9.996,2.122,9.346,182.896,4.001,390.0897,74991.62,9.25,In Stock,2025-01-15 14:43:16,2025-01-15 14:43:16
20250115,11,10,132.725,23.549,0.84,9.997,122.728,6.424,236.5216,31392.33,6.54,In Stock,2025-01-15 00:01:06,2025-01-15 00:01:06
20250115,45,14,404.735,21.984,0.579,102.172,302.563,18.935,262.8719,106393.46,24.51,In Stock,2025-01-15 00:33:37,2025-01-15 00:33:37
20250115,16,6,585.077,79.035,0.035,69.092,515.985,20.569,201.2026,117719.01,193.07,Overstock,2025-01-15 11:45:57,2025-01-15 11:45:57
20250115,46,8,456.315,68.995,1.177,9.452,446.863,22.779,212.1925,96826.62,65.74,In Stock,2025-01-15 07:54:34,2025-01-15 07:54:34
20250115,13,2,355.72,54.405,4.396,26.686,329.034,13.303,297.5036,105827.98,20.17,In Stock,2025-01-15 02:27:02,2025-01-15 02:27:02
20250115,2,19,786.52,102.17,2.11,62.694,723.826,12.471,100.9829,79425.07,43.17,Overstock,2025-01-15 01:36:59,2025-01-15 01:36:59
20250115,31,19,666.706,149.273,1.135,105.654,561.052,25.847,261.7045,174479.96,78.53,Overstock,2025-01-15 21:06:33,2025-01-15 21:06:33
20250115,35,2,300.429,31.312,4.704,57.083,243.346,9.79,480.1238,144243.11,15.66,In Stock,2025-01-15 05:08:17,2025-01-15 05:08:17
