date_key,product_key,store_key,supplier_key,currency_key,po_number,po_line_number,receipt_number,ordered_qty,received_qty,rejected_qty,unit_price,receipt_cost_amt,freight_cost_amt,duty_cost_amt,landed_cost_amt,receipt_date_key,po_date_key,lead_time_days,quality_status,source_system,
20210115,13,8,19,3,PO2021011249,6,RC20210176015,799.081,723.313,75.768,458.9431,331959.51,9049.91,20860.35,361869.77,20210115,20201220,26,Partial,VendorPortal,
20210115,47,19,17,4,PO2021014343,7,RC20210160450,418.178,403.256,14.922,347.4233,140100.53,2184.15,10376.68,152661.36,20210115,20201229,17,Partial,VendorPortal,
20210115,16,6,18,4,PO2021018002,8,RC20210174524,692.493,670.714,21.779,430.6133,288818.37,4659.47,14609.83,308087.67,20210115,20210108,7,Partial,VendorPortal,
20210115,41,11,15,3,PO2021016809,2,RC20210136472,317.269,316.89,0.379,451.9521,143219.1,3019.5,9027.81,155266.41,20210115,20201218,28,Accepted,Procurement,
20210115,1,13,18,4,PO2021011910,1,RC20210147378,452.125,448.902,3.223,215.214,96610,4656.64,3114.85,104381.49,20210115,20210101,14,Accepted,Procurement,
20210115,9,1,9,3,PO2021014332,7,RC20210167551,606.131,551.149,54.982,489.7792,269941.32,9929.02,7826.38,287696.72,20210115,20201227,19,Partial,Procurement,
20210115,41,14,13,4,PO2021018635,6,RC20210195660,479.611,453.651,25.96,304.9304,138331.98,5506.13,10387.35,154225.46,20210115,20201230,16,Partial,ERP,
20210115,3,17,9,1,PO2021013691,9,RC20210141936,568.083,531.593,36.49,480.8667,255625.37,7565.59,6348.63,269539.59,20210115,20210101,14,Partial,Procurement,
20210115,20,5,16,2,PO2021015134,7,RC20210160697,730.871,699.058,31.813,389.6289,272373.2,2773.25,16384.73,291531.18,20210115,20201228,18,Partial,VendorPortal,
20210115,31,19,6,1,PO2021015951,1,RC20210158451,131.177,118.31,12.867,129.5626,15328.55,700.22,1237.37,17266.14,20210115,20201228,18,Partial,Procurement,
20210115,16,18,13,1,PO2021012851,8,RC20210118996,656.906,615.909,40.997,62.4915,38489.08,1579.64,1947.04,42015.76,20210115,20201224,22,Partial,Procurement,
20210115,13,12,6,3,PO2021015034,2,RC20210195201,635.961,576.611,59.35,244.0044,140695.62,5498.69,7564.3,153758.61,20210115,20210110,5,Partial,Procurement,
20210115,14,6,2,4,PO2021015315,7,RC20210191467,894.91,840.955,53.955,232.2372,195301.03,9758.1,12555.73,217614.86,20210115,20210107,8,Partial,Procurement,
20210115,11,10,12,1,PO2021014979,4,RC20210195174,589.348,582.962,6.386,295.4873,172257.87,5043.19,16733.63,194034.69,20210115,20210106,9,Partial,VendorPortal,
20210115,11,10,18,1,PO2021014110,2,RC20210121575,806.903,733.283,73.62,295.4873,216675.81,10396,18648.39,245720.2,20210115,20210107,8,Partial,Procurement,
20210115,20,13,17,2,PO2021012791,4,RC20210186129,919.042,901.079,17.963,144.6324,130325.22,6042.08,4302.67,140669.97,20210115,20210104,11,Partial,Procurement,
20210115,47,14,2,3,PO2021016360,6,RC20210116466,116.531,115.803,0.728,189.3317,21925.18,1016.81,1978.25,24920.24,20210115,20201231,15,Accepted,Procurement,
20210115,48,16,4,4,PO2021013127,6,RC20210129114,821.243,742.065,79.178,114.4591,84936.09,1794.29,3485.2,90215.58,20210115,20210107,8,Partial,VendorPortal,
20210115,32,13,9,4,PO2021019694,7,RC20210163841,538.498,507.54,30.958,315.0702,159910.73,3028.79,7678.12,170617.64,20210115,20201227,19,Partial,VendorPortal,
20210115,12,3,7,2,PO2021013862,6,RC20210117090,867.563,807.734,59.829,153.5207,124003.89,3403.25,7560.09,134967.23,20210115,20201228,18,Partial,ERP,
20210115,46,6,18,5,PO2021017388,6,RC20210142576,153.309,149.653,3.656,64.2968,9622.21,397.9,622.59,10642.7,20210115,20210102,13,Partial,Procurement,
20210115,17,20,1,1,PO2021015366,5,RC20210140275,309.587,304.27,5.317,370.9525,112869.72,4752.2,9051.72,126673.64,20210115,20201225,21,Partial,ERP,
20210115,8,1,12,5,PO2021016086,1,RC20210136440,757.342,691.024,66.318,312.689,216075.6,6007.51,18756.06,240839.17,20210115,20201231,15,Partial,ERP,
20210115,13,20,12,5,PO2021013800,8,RC20210143264,824.998,817.402,7.596,91.2257,74568.07,1133.96,6721.66,82423.69,20210115,20201231,15,Accepted,Procurement,
20210115,25,12,6,1,PO2021013824,9,RC20210133301,946.435,894.424,52.011,324.291,290053.65,12086.48,6327.81,308467.94,20210115,20210110,5,Partial,Procurement,
20210115,46,16,3,1,PO2021015106,9,RC20210183460,299.786,277.622,22.164,212.1925,58909.31,2665.91,2682.64,64257.86,20210115,20210106,9,Partial,ERP,
20210115,32,3,19,1,PO2021018769,5,RC20210156240,829.977,781.698,48.279,375.2463,293329.28,10202.94,10696.38,314228.6,20210115,20210106,9,Partial,ERP,
20210115,20,8,20,4,PO2021013485,5,RC20210175452,547.623,526.906,20.717,233.4019,122980.86,3197.53,4157.65,130336.04,20210115,20201222,24,Partial,Procurement,
20210115,16,18,17,1,PO2021013284,3,RC20210187453,140.753,140.296,0.457,62.4915,8767.31,144.73,772.74,9684.78,20210115,20201223,23,Accepted,Procurement,
20210115,4,10,3,5,PO2021015445,3,RC20210151693,880.877,818.184,62.693,414.6216,339236.76,3647.58,8471.8,351356.14,20210115,20201230,16,Partial,Procurement,
20210115,13,20,3,5,PO2021016505,6,RC20210196358,771.77,715.193,56.577,91.2257,65243.98,2322.7,4356.12,71922.8,20210115,20201231,15,Partial,Procurement,
20210115,40,16,3,3,PO2021016912,7,RC20210110142,401.92,373.611,28.309,149.1455,55722.4,2342.96,1249.66,59315.02,20210115,20210105,10,Partial,VendorPortal,
20210115,21,19,7,3,PO2021018457,9,RC20210176329,983.364,890.55,92.814,167.8057,149439.37,3881.67,4271.45,157592.49,20210115,20210106,9,Partial,Procurement,
20210115,10,14,19,1,PO2021014514,8,RC20210110372,536.157,482.693,53.464,393.6841,190028.56,4056.58,10559,204644.14,20210115,20210102,13,Partial,Procurement,
20210115,13,8,5,3,PO2021018611,6,RC20210160498,541.613,512.946,28.667,458.9431,235413.03,8281.74,16707.43,260402.2,20210115,20210101,14,Partial,Procurement,
20210115,11,10,1,1,PO2021018681,9,RC20210155268,678.272,665.772,12.5,295.4873,196727.17,5052.92,12258.99,214039.08,20210115,20201219,27,Partial,VendorPortal,
20210115,29,12,8,2,PO2021013141,6,RC20210136406,309.545,284.044,25.501,116.5585,33107.74,1614,807.25,35528.99,20210115,20201218,28,Partial,Procurement,
20210115,31,19,12,1,PO2021018700,3,RC20210151684,643.788,619.487,24.301,129.5626,80262.35,2030.53,7148.58,89441.46,20210115,20201224,22,Partial,ERP,
20210115,44,3,5,1,PO2021017792,7,RC20210177388,550.337,529.693,20.644,355.8109,188470.54,2778.5,12025.09,203274.13,20210115,20210105,10,Partial,ERP,
20210115,46,8,2,2,PO2021012823,9,RC20210140356,474.535,441.663,32.872,259.7697,114730.67,4410.83,7775.18,126916.68,20210115,20201219,27,Partial,Procurement,
20210115,31,14,2,5,PO2021017645,4,RC20210177503,260.051,241.487,18.564,180.3918,43562.27,1632.65,3656.26,48851.18,20210115,20210104,11,Partial,Procurement,
20210115,2,12,17,5,PO2021017539,6,RC20210131633,705.48,657.322,48.158,190.8529,125451.81,2578.73,3289.27,131319.81,20210115,20210109,6,Partial,VendorPortal,
20210115,47,19,13,4,PO2021019367,5,RC20210146401,831.237,828.308,2.929,347.4233,287773.5,9683.64,8590.34,306047.48,20210115,20201220,26,Accepted,Procurement,
20210115,19,1,8,1,PO2021013213,3,RC20210138171,413.987,395.181,18.806,266.6532,105376.28,5050.25,7745.02,118171.55,20210115,20201224,22,Partial,ERP,
20210115,3,12,6,3,PO2021014940,7,RC20210132391,199.442,190.686,8.756,367.1782,70015.74,1449.42,1997.67,73462.83,20210115,20210110,5,Partial,ERP,
20210115,7,17,2,3,PO2021016702,4,RC20210125021,631.218,596.204,35.014,269.1662,160477.97,2630.44,9060.43,172168.84,20210115,20201230,16,Partial,ERP,
20210115,43,5,2,3,PO2021012563,2,RC20210139908,376.92,346.959,29.961,80.7339,28011.35,733.2,1379.36,30123.91,20210115,20201228,18,Partial,Procurement,
20210115,49,18,16,1,PO2021014301,7,RC20210146012,802.43,727.413,75.017,303.9216,221076.52,7847.63,19809.19,248733.34,20210115,20210103,12,Partial,ERP,
20210115,44,9,9,4,PO2021011450,3,RC20210158747,999.762,929.257,70.505,198.9124,184840.74,4474.76,13366.29,202681.79,20210115,20210109,6,Partial,Procurement,
20210115,31,8,1,3,PO2021018637,5,RC20210192064,782.299,732.939,49.36,343.0172,251410.68,6590.09,11415.34,269416.11,20210115,20210107,8,Partial,VendorPortal,
20210115,2,12,9,5,PO2021018217,1,RC20210158089,431.406,408.381,23.025,190.8529,77940.7,1102.82,3829.48,82873,20210115,20210108,7,Partial,ERP,
20210115,20,13,5,2,PO2021015394,8,RC20210132676,955.062,910.795,44.267,144.6324,131730.47,2764.18,4303.87,138798.52,20210115,20201227,19,Partial,VendorPortal,
20210115,11,15,8,5,PO2021018903,4,RC20210188053,763.971,707.25,56.721,83.3026,58915.76,735.12,1382.89,61033.77,20210115,20201227,19,Partial,Procurement,
20210115,38,9,7,3,PO2021018733,7,RC20210183170,333.61,320.541,13.069,265.1004,84975.55,2046.58,4286.37,91308.5,20210115,20210105,10,Partial,Procurement,
20210115,48,7,5,3,PO2021013293,7,RC20210175084,288.546,263.679,24.867,295.8816,78017.76,3230.95,6939.71,88188.42,20210115,20210102,13,Partial,VendorPortal,
20210115,46,16,10,1,PO2021012634,3,RC20210193739,919.368,909.067,10.301,212.1925,192897.2,8906.97,5022.33,206826.5,20210115,20210102,13,Partial,ERP,
20210115,47,14,2,3,PO2021018789,7,RC20210141793,810.604,741.411,69.193,189.3317,140372.61,4495.62,9347.26,154215.49,20210115,20201223,23,Partial,VendorPortal,
20210115,23,1,8,2,PO2021019370,9,RC20210192051,999.94,941.758,58.182,154.4942,145496.15,2201.43,6905.47,154603.05,20210115,20210102,13,Partial,ERP,
20210115,8,1,19,5,PO2021017523,9,RC20210119742,754.578,688.355,66.223,312.689,215241.04,3273.32,12352.83,230867.19,20210115,20201220,26,Partial,ERP,
20210115,42,8,12,2,PO2021012576,9,RC20210176503,272.954,267.953,5.001,318.4797,85337.59,2935.84,4060.48,92333.91,20210115,20210106,9,Partial,VendorPortal,
20210115,8,16,4,3,PO2021012953,4,RC20210110406,368.595,337.688,30.907,269.5095,91010.12,3452.98,3109.13,97572.23,20210115,20210106,9,Partial,Procurement,
20210115,44,3,10,1,PO2021018933,1,RC20210173527,937.843,932.927,4.916,355.8109,331945.6,15933.25,7264.69,355143.54,20210115,20210103,12,Accepted,ERP,
20210115,10,14,11,1,PO2021016491,5,RC20210179363,962.997,911.044,51.953,393.6841,358663.54,17211.28,8018.94,383893.76,20210115,20201227,19,Partial,ERP,
20210115,42,14,15,3,PO2021016952,4,RC20210132504,177.16,173.049,4.111,348.9177,60379.86,2118.87,1967.12,64465.85,20210115,20201222,24,Partial,Procurement,
20210115,23,1,5,2,PO2021017991,7,RC20210118348,734.76,708.119,26.641,154.4942,109400.28,5300.81,10058.06,124759.15,20210115,20201226,20,Partial,VendorPortal,
20210115,29,6,17,3,PO2021018870,4,RC20210121170,155.076,149.524,5.552,112.3812,16803.69,585.84,566.09,17955.62,20210115,20210107,8,Partial,ERP,
