date_key,product_key,store_key,promotion_key,channel_key,promo_flag,baseline_qty,actual_qty,lift_qty,baseline_sales_amt,actual_sales_amt,lift_sales_amt,markdown_amt,promo_cost_amt,incremental_margin_amt,lift_percent,roi
20210115,1,13,10,4,0,38.612,37.689,-0.923,25673.12,25059.42,-613.7,0,0,-613.7,-2.39,0
20210115,45,7,4,2,1,80.229,88.225,7.996,42069.68,39976.06,-2093.62,5716.73,2591.61,-1826.86,9.97,-170.49
20210115,16,6,3,4,1,42.246,43.01,0.764,21883.43,20966.68,-916.75,1289.18,2854.99,-3127.15,1.81,-209.53
20210115,47,12,5,4,1,99.438,103.216,3.778,71061.38,69962.99,-1098.39,3659.23,4874.85,-4143.63,3.8,-185
20210115,25,5,1,4,1,58.476,63.147,4.671,46505.96,40697.5,-5808.46,8818.87,2233.8,-3632.82,7.99,-262.63
20210115,9,1,4,2,1,78.641,85.202,6.561,36237.77,36117.67,-120.1,2901.35,2226.76,-896.19,8.34,-140.25
20210115,8,1,4,1,1,77.622,83.468,5.846,71310.56,70363.87,-946.69,5874.89,2384.34,-393.58,7.53,-116.51
20210115,16,18,10,1,1,51.416,56.059,4.643,29304.04,27790.29,-1513.75,3815.43,3227.05,-2833.08,9.03,-187.79
20210115,20,5,2,2,1,21.012,22.34,1.328,4993.08,4782.45,-210.63,494.92,2177.6,-2140.77,6.32,-198.31
20210115,31,19,10,3,1,68.918,70.084,1.166,12851.83,10795.81,-2056.02,2235.63,2451.87,-3390.07,1.69,-238.26
20210115,11,5,9,2,0,82.341,83.106,0.765,16392.45,16544.74,152.29,0,0,152.29,0.93,0
20210115,13,12,3,2,1,97.234,102.24,5.006,19319.42,16858.76,-2460.66,3286.13,863.43,-1681.02,5.15,-294.69
20210115,14,6,4,1,1,97.125,98.493,1.368,41464.61,35476.64,-5987.97,6480.71,4516.49,-7264.1,1.41,-260.84
20210115,10,14,4,3,0,82.741,80.171,-2.57,63464.83,61493.56,-1971.27,0,0,-1971.27,-3.11,0
20210115,10,14,4,3,1,74.826,77.515,2.689,57393.79,48323.25,-9070.54,10746.87,3865.36,-7562.47,3.59,-295.65
20210115,20,13,7,1,1,29.254,30.409,1.155,13668.35,13069.68,-598.67,1095.08,4515.73,-4566.86,3.95,-201.13
20210115,47,14,9,4,0,68.506,70.244,1.738,37662.54,38618.04,955.5,0,0,955.5,2.54,0
20210115,48,16,3,4,1,48.925,53.53,4.605,17951.07,18164.94,213.87,1348.8,1080.8,-192.53,9.41,-117.81
20210115,12,3,6,1,1,16.509,17.879,1.37,16418.37,15352.24,-1066.13,2242.51,3264.16,-3209.04,8.3,-198.31
20210115,6,6,3,2,1,71.318,71.714,0.396,10790.41,9643,-1147.41,1200.66,3045.93,-3593.01,0.56,-217.96
20210115,17,20,5,2,1,93.576,101.077,7.501,46874.09,48028.05,1153.96,2410.23,3395.42,-1036.34,8.02,-130.52
20210115,40,11,7,3,0,38.981,40.258,1.277,6783.08,7005.29,222.21,0,0,222.21,3.28,0
20210115,13,20,8,1,0,35.578,36.859,1.281,16205.42,16788.91,583.49,0,0,583.49,3.6,0
20210115,25,12,3,4,1,67.915,72.786,4.871,46493.93,42692.98,-3800.95,6658.06,3950.07,-4421.99,7.17,-211.95
20210115,46,16,5,2,0,81.234,77.317,-3.917,58613.58,55787.31,-2826.27,0,0,-2826.27,-4.82,0
20210115,32,3,5,3,1,57.877,60.955,3.078,45839.74,44530.83,-1308.91,3557.55,1589.66,-1119.8,5.32,-170.44
20210115,20,8,4,1,1,53.838,54.342,0.504,46470.27,41644.45,-4825.82,5212.06,2065.88,-4285.67,0.94,-307.45
20210115,11,5,7,2,0,10.886,10.985,0.099,2167.18,2186.89,19.71,0,0,19.71,0.91,0
20210115,4,10,5,1,1,67.541,69.939,2.398,25542.66,21293.79,-4248.87,4978.97,4324.44,-6083.82,3.55,-240.68
20210115,13,20,2,1,1,25.247,26.764,1.517,11499.76,9779.1,-1720.66,2274.94,2296.53,-2879.72,6.01,-225.39
20210115,40,16,5,1,1,94.329,103.095,8.766,65997.28,67699.37,1702.09,4054.29,1865.75,1863.48,9.29,-0.12
20210115,21,19,2,1,1,41.712,44.163,2.451,28831.33,28761.51,-69.82,1666.05,1780.88,-1017.68,5.88,-157.14
20210115,33,13,4,4,1,36.224,38.992,2.768,11164.6,11027.93,-136.67,919.53,4523.05,-4199.96,7.64,-192.86
20210115,1,13,3,4,1,47.4,50.509,3.109,31516.26,29360.77,-2155.49,3962.75,3118.6,-3292.72,6.56,-205.58
20210115,10,14,8,3,0,96.58,95.096,-1.484,74079.76,72941.48,-1138.28,0,0,-1138.28,-1.54,0
20210115,29,12,10,2,1,57.33,58.13,0.8,45564.16,42959.48,-2604.68,3195.91,900.08,-1906.8,1.4,-311.85
20210115,31,19,9,3,1,26.359,26.898,0.539,4915.43,4593.2,-322.23,414.27,4675.09,-4790.18,2.04,-202.46
20210115,44,3,5,1,1,47.599,48.881,1.282,26923.42,22497.55,-4425.87,5015.92,4052.4,-5970.31,2.69,-247.33
20210115,46,8,3,3,1,12.881,13.9,1.019,5640.59,5344.01,-296.58,688.35,1714.3,-1666.7,7.91,-197.22
20210115,31,14,5,4,0,68.33,69.302,0.972,53073.28,53828.25,754.97,0,0,754.97,1.42,0
20210115,2,12,1,2,1,71.802,73.752,1.95,68122.87,58451.39,-9671.48,11216.92,1359.57,-5422.59,2.72,-498.85
20210115,45,7,8,2,0,27.948,26.665,-1.283,14655.09,13982.33,-672.76,0,0,-672.76,-4.59,0
20210115,34,14,3,1,0,86.688,90.558,3.87,36980.23,38631.14,1650.91,0,0,1650.91,4.46,0
20210115,25,3,2,2,1,32.856,34.95,2.094,33144.8,31306.05,-1838.75,3714.43,4322.35,-4303.88,6.37,-199.57
20210115,7,17,9,4,0,73.015,71.851,-1.164,20855.27,20522.8,-332.47,0,0,-332.47,-1.59,0
20210115,43,5,8,4,0,70.899,69.968,-0.931,45010.23,44419.18,-591.05,0,0,-591.05,-1.31,0
20210115,14,17,10,3,1,74.69,82.132,7.442,30100.07,29511.5,-588.57,3262.61,4049.6,-3006.86,9.96,-174.25
20210115,44,9,3,3,1,30.938,31.246,0.308,29923.85,28642.56,-1281.29,1563.63,2451.39,-2950.86,1,-220.37
20210115,31,8,7,4,1,21.11,21.593,0.483,16087.3,14380.43,-1706.87,2028.53,2192.62,-2885.22,2.29,-231.59
20210115,2,12,2,2,0,39.306,40.439,1.133,37291.96,38366.91,1074.95,0,0,1074.95,2.88,0
20210115,20,13,10,1,1,19.665,20.76,1.095,9188.08,7937.69,-1250.39,1669.06,1638.92,-2054.78,5.57,-225.37
20210115,50,20,9,2,1,45.724,49.262,3.538,39522.91,36271.68,-3251.23,5856.27,4028.56,-4351.66,7.74,-208.02
20210115,38,9,6,4,0,77.474,76.08,-1.394,37695.75,37017.48,-678.27,0,0,-678.27,-1.8,0
20210115,3,12,7,1,1,27.818,29.711,1.893,7811.85,7475.67,-336.18,812.48,2755.68,-2685.62,6.8,-197.46
20210115,46,16,5,2,0,27.313,28.267,0.954,19707.42,20395.77,688.35,0,0,688.35,3.49,0
20210115,47,14,8,4,1,78.215,79.549,1.334,43000.26,36411.7,-6588.56,7199.16,4998.19,-7987.17,1.71,-259.8
